category_slug,old_category_link,wp_post_count,mapped_topic,topic_confidence,new_topic_link,all_topics_breakdown
best-practices-business-planning,https://www.synnovatia.com/category/best-practices-business-planning/,2,Ownership & Entrepreneurship,50%,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,"{""Ownership & Entrepreneurship"": 1, ""Strategy & Planning"": 1}"
performance-strategic-coaching,https://www.synnovatia.com/category/performance-strategic-coaching/,2,Growth & Scaling,50%,https://synnovatiacom.stage.site/topic/growth-scaling/,"{""Growth & Scaling"": 1, ""Ownership & Entrepreneurship"": 1}"
best-practices-strategic-coaching,https://www.synnovatia.com/category/best-practices-strategic-coaching/,2,Ownership & Entrepreneurship,50%,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,"{""Ownership & Entrepreneurship"": 1, ""Strategy & Planning"": 1}"
sales,https://www.synnovatia.com/category/sales/,2,Sales & Marketing,100%,https://synnovatiacom.stage.site/topic/sales-marketing/,"{""Sales & Marketing"": 2}"
business-success,https://www.synnovatia.com/category/business-success/,1,Growth & Scaling,100%,https://synnovatiacom.stage.site/topic/growth-scaling/,"{""Growth & Scaling"": 1}"
social-networking-sales-client-acquisition-marketing-inbound-marketing-business-growth,https://www.synnovatia.com/category/social-networking-sales-client-acquisition-marketing-inbound-marketing-business-growth/,1,Sales & Marketing,100%,https://synnovatiacom.stage.site/topic/sales-marketing/,"{""Sales & Marketing"": 1}"
linkedin-social-networking-social-media-best-practices,https://www.synnovatia.com/category/linkedin-social-networking-social-media-best-practices/,1,Sales & Marketing,100%,https://synnovatiacom.stage.site/topic/sales-marketing/,"{""Sales & Marketing"": 1}"
business-trends-business-planning-business-growth-marketing,https://www.synnovatia.com/category/business-trends-business-planning-business-growth-marketing/,1,Sales & Marketing,100%,https://synnovatiacom.stage.site/topic/sales-marketing/,"{""Sales & Marketing"": 1}"
growth-strategy,https://www.synnovatia.com/category/growth-strategy/,1,Ownership & Entrepreneurship,100%,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,"{""Ownership & Entrepreneurship"": 1}"
best-practices-business-growth-business-coaching-attitude,https://www.synnovatia.com/category/best-practices-business-growth-business-coaching-attitude/,1,Ownership & Entrepreneurship,100%,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,"{""Ownership & Entrepreneurship"": 1}"
business-skills-small-business-success-small-business-strategy,https://www.synnovatia.com/category/business-skills-small-business-success-small-business-strategy/,1,Strategy & Planning,100%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 1}"
attitude-strategic-thinking,https://www.synnovatia.com/category/attitude-strategic-thinking/,1,Mindset & Resilience,100%,https://synnovatiacom.stage.site/topic/mindset-resilience/,"{""Mindset & Resilience"": 1}"
small-business-strategist-client-acquisition-marketing-strategic-coaching-client-service,https://www.synnovatia.com/category/small-business-strategist-client-acquisition-marketing-strategic-coaching-client-service/,1,Sales & Marketing,100%,https://synnovatiacom.stage.site/topic/sales-marketing/,"{""Sales & Marketing"": 1}"
small-business-growth-client-acquisition-marketing,https://www.synnovatia.com/category/small-business-growth-client-acquisition-marketing/,1,Sales & Marketing,100%,https://synnovatiacom.stage.site/topic/sales-marketing/,"{""Sales & Marketing"": 1}"
inbound-marketing-business-growth,https://www.synnovatia.com/category/inbound-marketing-business-growth/,1,Sales & Marketing,100%,https://synnovatiacom.stage.site/topic/sales-marketing/,"{""Sales & Marketing"": 1}"
small-business-growth-growth-strategies-change-management,https://www.synnovatia.com/category/small-business-growth-growth-strategies-change-management/,1,Mindset & Resilience,100%,https://synnovatiacom.stage.site/topic/mindset-resilience/,"{""Mindset & Resilience"": 1}"
motivation-attitude,https://www.synnovatia.com/category/motivation-attitude/,1,Mindset & Resilience,100%,https://synnovatiacom.stage.site/topic/mindset-resilience/,"{""Mindset & Resilience"": 1}"
small-business-growth-strategic-coaching-business-vision,https://www.synnovatia.com/category/small-business-growth-strategic-coaching-business-vision/,1,Strategy & Planning,100%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 1}"
growth-strategies-best-practices-motivation-small-business-strategy,https://www.synnovatia.com/category/growth-strategies-best-practices-motivation-small-business-strategy/,1,People & Partnerships,100%,https://synnovatiacom.stage.site/topic/people-partnerships/,"{""People & Partnerships"": 1}"
small-business-growth-small-business-success-performance,https://www.synnovatia.com/category/small-business-growth-small-business-success-performance/,1,Mindset & Resilience,100%,https://synnovatiacom.stage.site/topic/mindset-resilience/,"{""Mindset & Resilience"": 1}"
business-skills-time-management-business-planning,https://www.synnovatia.com/category/business-skills-time-management-business-planning/,1,Strategy & Planning,100%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 1}"
small-business-growth-small-business-assessment,https://www.synnovatia.com/category/small-business-growth-small-business-assessment/,1,Strategy & Planning,100%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 1}"
